20.05.2020 12:57:11.354 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.PatternTableFileRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.354 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.PatternTableLoggerRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.355 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.PatternTableRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.356 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.SourceLoggerRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.356 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.SourceRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.357 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface ru.iac.ASGIHDTORIS.spring.repo.StatusesRepo. If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
20.05.2020 12:57:11.357 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36ms. Found 0 JDBC repository interfaces.
20.05.2020 12:57:11.362 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
20.05.2020 12:57:11.362 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
20.05.2020 12:57:11.416 [restartedMain] INFO   o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 52ms. Found 15 JPA repository interfaces.
20.05.2020 12:57:11.725 [restartedMain] INFO   o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
20.05.2020 12:57:12.183 [restartedMain] INFO   o.s.b.w.e.t.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
20.05.2020 12:57:12.189 [restartedMain] INFO   o.a.c.h.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
20.05.2020 12:57:12.189 [restartedMain] INFO   o.a.c.c.StandardService - Starting service [Tomcat]
20.05.2020 12:57:12.189 [restartedMain] INFO   o.a.c.c.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
20.05.2020 12:57:12.240 [restartedMain] INFO   o.a.c.c.C.[.[.[/] - Initializing Spring embedded WebApplicationContext
20.05.2020 12:57:12.240 [restartedMain] INFO   o.s.w.c.ContextLoader - Root WebApplicationContext: initialization completed in 1439 ms
20.05.2020 12:57:12.359 [restartedMain] INFO   o.f.c.i.l.VersionPrinter - Flyway Community Edition 6.2.4 by Redgate
20.05.2020 12:57:12.362 [restartedMain] INFO   c.z.h.HikariDataSource - HikariPool-1 - Starting...
20.05.2020 12:57:12.515 [restartedMain] INFO   c.z.h.HikariDataSource - HikariPool-1 - Start completed.
20.05.2020 12:57:12.523 [restartedMain] INFO   o.f.c.i.d.DatabaseFactory - Database: jdbc:postgresql://localhost:5432/iac5 (PostgreSQL 12.1)
20.05.2020 12:57:12.542 [restartedMain] INFO   o.f.c.i.c.DbValidate - Successfully validated 5 migrations (execution time 00:00.010s)
20.05.2020 12:57:12.546 [restartedMain] INFO   o.f.c.i.c.DbMigrate - Current version of schema "public": 5
20.05.2020 12:57:12.546 [restartedMain] INFO   o.f.c.i.c.DbMigrate - Schema "public" is up to date. No migration necessary.
20.05.2020 12:57:12.705 [restartedMain] INFO   o.h.j.i.u.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
20.05.2020 12:57:12.743 [restartedMain] INFO   o.hibernate.Version - HHH000412: Hibernate Core {5.4.10.Final}
20.05.2020 12:57:12.802 [restartedMain] INFO   o.h.a.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
20.05.2020 12:57:12.847 [restartedMain] INFO   o.h.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
20.05.2020 12:57:13.538 [restartedMain] INFO   o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
20.05.2020 12:57:13.542 [restartedMain] INFO   o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
